from_bus,to_bus,admittance
0,1,9.662922773171902
1,2,1.8074578829202124
2,3,2.43467627098583
3,4,2.338185037428421
4,5,0.9242594190171651
5,6,1.5467996064440002
6,7,1.334684159683436
7,8,0.7884777951517158
8,9,0.7814560751602623
9,10,4.829365027126048
10,11,2.5359009695070047
11,12,0.5353606735161253
12,13,1.1169476083760943
13,14,1.2639437588683557
14,15,1.0821163039341841
15,16,0.4650729178834596
16,17,1.0750202576038457
1,18,4.411315154336874
18,19,0.49388125327676785
19,20,1.587988283646015
20,21,0.8509265523936558
2,22,1.8299239571346761
22,23,0.873962010258367
23,24,0.8789677209023794
5,25,4.389489131873772
25,26,3.135617064428364
26,27,0.7082983106861165
27,28,0.9375823167486094
28,29,1.7557956527495089
29,30,0.7299417159538818
30,31,2.0971142564129486
31,32,1.5863166102288726
20,7,0.35355339059327373
8,14,0.35355339059327373
11,21,0.35355339059327373
17,32,1.414213562373095
24,28,1.414213562373095
